season,full_name,epa,value_per_game
2022,D.Evans,5.5416365,0.3259786
2022,D.Felton,-2.753882,0.0
2022,D.Foreman,-6.8971734,0.0
2022,D.Goedert,54.54083,3.2082841
2022,D.Gray,-2.1408587,0.0
2022,D.Harris,-8.9107685,0.0
2022,D.Harty,-1.2107297,0.0
2022,D.Henderson,-0.8201076,0.0
2022,D.Henry,-7.720623,0.0
2022,D.Hilliard,6.3377852,0.3728109
2022,D.Hopkins,6.771718,0.39833635
2022,D.Houston,-5.0536222,0.0
2022,D.Jackson,-22.52581,0.0
2022,D.Johnson,-11.754451,0.0
2022,D.Jones,52.663986,3.0978816
2022,D.Knox,22.306389,1.3121405
2022,D.Leavitt,-3.2366855,0.0
2022,D.London,12.795356,0.75266796
2022,D.Metcalf,18.44857,1.08521
2022,D.Mills,-72.08023,0.0
2022,D.Milne,2.490645,0.14650853
2022,D.Mims,-2.8420877,0.0
2022,D.Montgomery,-8.591093,0.0
2022,D.Mooney,13.88954,0.81703174
2022,D.Moore,18.980795,1.1165173
2022,D.Njoku,22.174997,1.3044116
2022,D.Ogunbowale,-19.456734,0.0
2022,D.Ozigbo,-1.6822027,0.0
2022,D.Parham,8.2104025,0.48296484
2022,D.Parker,15.647542,0.92044365
2022,D.Patmon,-7.643116,0.0
2022,D.Peoples-Jones,18.027649,1.06045
2022,D.Pettis,-13.485901,0.0
2022,D.Pierce,-36.76452,0.0
2022,D.Prescott,67.76425,3.9861324
2022,D.Ridder,-18.439566,0.0
2022,D.Robinson,7.5783157,0.4457833
2022,D.Sample,-3.0159645,0.0
2022,D.Samuel,-0.67474174,0.0
2022,D.Schultz,7.175561,0.4220918
2022,D.Sills,4.9024253,0.28837797
2022,D.Singletary,-10.265184,0.0
2022,D.Slayton,32.759254,1.927015
2022,D.Smith,67.54721,3.9733653
2022,D.Smythe,2.0542774,0.12083985
2022,D.Swift,14.673554,0.86315024
2022,D.Thompkins,-3.9824066,0.0
2022,D.Turner,-0.62612826,0.0
2022,D.Waller,4.8993654,0.28819796
2022,D.Washington,-2.8018298,0.0
2022,D.Watson,-23.950272,0.0
2022,D.Watt,3.977243,0.23395547
2022,D.Webb,4.4124174,0.25955397
2022,D.Williams,-2.2908742,0.0
2022,D.Young,2.7640913,0.1625936
2022,Dav.Bell,-11.099134,0.0
2022,E.Benjamin,2.5546765,0.1502751
2022,E.Elliott,-22.3646,0.0
2022,E.Engram,36.121815,2.1248126
2022,E.Ezukanma,-1.0125226,0.0
2022,E.Mitchell,4.6313796,0.2724341
2022,E.Moore,0.39248657,0.023087446
2022,E.Saubert,-2.877889,0.0
2022,E.St. Brown,4.2959538,0.25270316
2022,E.Tomlinson,7.262343,0.42719665
2022,F.Darby,1.2657944,0.074458495
2022,F.Franks,-1.9329469,0.0
2022,F.Moreau,8.415478,0.4950281
2022,F.Swain,-3.900426,0.0
2022,G.Bernard,-8.138878,0.0
2022,G.Brightwell,-3.3731873,0.0
2022,G.Calcaterra,2.0779967,0.122235104
2022,G.Davis,17.567692,1.0333936
2022,G.Dortch,14.029792,0.82528186
2022,G.Dulcich,0.46830857,0.027547562
2022,G.Edwards,1.5867647,0.0933391
2022,G.Everett,12.845634,0.75562555
2022,G.Igwebuike,-4.2161064,0.0
2022,G.Kittle,51.4644,3.0273178
2022,G.Minshew,-8.402962,0.0
2022,G.Olszewski,2.5182457,0.1481321
