player_id,total_snaps,pass_snaps,run_snaps,total_pressures,total_tfls,pressure_generated,tfl_rate,player_name,position,team
00-0036940,637,457,180,83,14,0.18161925601750548,0.07777777777777778,Odafe Oweh,LB,LAC
00-0031360,652,452,200,82,9,0.18141592920353983,0.045,Kyle Van Noy,LB,BAL
00-0033523,400,215,185,39,20,0.1813953488372093,0.10810810810810811,Jonathan Allen,DL,MIN
00-0035386,1008,535,473,97,43,0.18130841121495328,0.09090909090909091,T.J. Edwards,LB,CHI
00-0031254,328,232,96,42,11,0.1810344827586207,0.11458333333333333,Denico Autry,DL,HOU
00-0034673,1009,536,473,97,43,0.18097014925373134,0.09090909090909091,Tremaine Edmunds,LB,CHI
00-0034773,711,451,260,81,18,0.17960088691796008,0.06923076923076923,Vita Vea,DL,TB
00-0038711,547,273,274,49,45,0.1794871794871795,0.16423357664233576,Mohamoud Diabate,LB,CLE
00-0032671,573,364,209,65,17,0.17857142857142858,0.08133971291866028,Morgan Fox,DL,BUF
00-0038504,617,364,253,65,21,0.17857142857142858,0.08300395256916997,Trenton Simpson,LB,BAL
00-0038807,421,236,185,42,17,0.17796610169491525,0.0918918918918919,Ivan Pace Jr.,LB,MIN
00-0036982,736,411,325,73,20,0.17761557177615572,0.06153846153846154,Chauncey Golston,DL,NYG
00-0038541,479,316,163,56,17,0.17721518987341772,0.10429447852760736,Tyree Wilson,DL,LV
00-0035262,915,491,424,87,38,0.17718940936863545,0.08962264150943396,Drue Tranquill,LB,KC
00-0038556,663,369,294,65,17,0.17615176151761516,0.05782312925170068,DeMarvion Overshown,LB,DAL
00-0038660,320,205,115,36,7,0.17560975609756097,0.06086956521739131,Trevor Nowaske,LB,DET
00-0036624,582,382,200,67,19,0.17539267015706805,0.095,Alim McNeill,DL,DET
00-0036915,428,234,194,41,25,0.1752136752136752,0.12886597938144329,Jeremiah Owusu-Koramoah,LB,CLE
00-0035687,688,371,317,65,31,0.1752021563342318,0.09779179810725552,Bobby Okereke,LB,NYG
