Rank,Player,Team,Pos,Snaps,Rating (Press),TFL%
85,Javon Kinlaw,WAS,DL,640,0.1473988439306358,0.0918367346938775
86,Jalen Carter,PHI,DL,1020,0.1459968602825745,0.1044386422976501
87,Zack Baun,PHI,LB,1142,0.1458923512747875,0.0940366972477064
88,Quincy Williams,NYJ,LB,1046,0.1456483126110124,0.093167701863354
89,Poona Ford,LA,DL,604,0.1454545454545454,0.0693430656934306
90,Carl Granderson,NO,LB,781,0.1449579831932773,0.0655737704918032
91,Ernest Jones,SEA,LB,925,0.1444444444444444,0.1038961038961039
92,Micah McFadden,NYG,LB,636,0.1442953020134228,0.1183431952662721
93,Grover Stewart,IND,DL,657,0.1437908496732026,0.0997150997150997
94,Jack Campbell,DET,LB,975,0.1428571428571428,0.0921052631578947
95,Quay Walker,GB,LB,760,0.1415730337078651,0.0888888888888888
96,Khalil Mack,LAC,LB,624,0.1413333333333333,0.0481927710843373
97,Chase Young,NO,LB,692,0.1405895691609977,0.0557768924302788
98,Harrison Phillips,NYJ,DL,665,0.14,0.1111111111111111
99,Byron Young,LA,LB,879,0.1392156862745098,0.075880758807588
100,Pete Werner,NO,LB,686,0.1386666666666666,0.067524115755627
101,Harold Landry III,NE,LB,832,0.1386363636363636,0.1122448979591836
102,Dorian Williams,BUF,LB,646,0.138235294117647,0.1241830065359477
103,Nolan Smith,PHI,LB,720,0.1381733021077283,0.0921501706484641
104,Zaire Franklin,IND,LB,1099,0.1376936316695352,0.0868725868725868
105,E.J. Speed,HOU,LB,958,0.1366336633663366,0.0905077262693156
106,Kyzir White,TEN,LB,968,0.1353790613718411,0.0990338164251207
107,Robert Spillane,NE,LB,1012,0.1348122866894198,0.1056338028169014
108,Fred Warner,SF,LB,952,0.1346153846153846,0.0694444444444444
109,Dayo Odeyingbo,CHI,DL,710,0.1336633663366336,0.088235294117647
110,Nakobe Dean,PHI,LB,836,0.1334702258726899,0.0974212034383954
111,Demario Davis,NO,LB,1028,0.1332179930795847,0.0711111111111111
112,Jordyn Brooks,MIA,LB,976,0.1320754716981132,0.094147582697201
113,Jeffery Simmons,TEN,DL,769,0.1315136476426799,0.0928961748633879
114,"Kenneth Murray, Jr.",DAL,LB,767,0.1296758104738154,0.1120218579234972
115,Grady Jarrett,CHI,DL,700,0.1290322580645161,0.0841750841750841
116,Jadeveon Clowney,DAL,DL,607,0.1286549707602339,0.0641509433962264
117,Michael Hoecht,BUF,LB,667,0.1284153005464481,0.0764119601328903
118,Isaiah McDuffie,GB,LB,688,0.128,0.121405750798722
119,Adam Butler,LV,DL,791,0.1260330578512396,0.1107491856677524
120,Kaden Elliss,ATL,LB,1035,0.1252115059221658,0.0765765765765765
121,Maxx Crosby,LV,DL,711,0.1247002398081534,0.1156462585034013
122,Matthew Judon,MIA,LB,618,0.1222222222222222,0.0968992248062015
123,Josh Hines-Allen,JAX,DL,756,0.1210045662100456,0.0911949685534591
124,Mack Wilson,ARI,LB,724,0.1204188481675392,0.1052631578947368
125,Keion White,SF,DL,782,0.1203703703703703,0.0771428571428571
126,T'Vondre Sweat,TEN,DL,662,0.1183800623052959,0.1026392961876832
127,Travon Walker,JAX,DL,838,0.1183673469387755,0.0948275862068965
128,Josey Jewell,CAR,LB,745,0.1176470588235294,0.0539083557951482
129,Christian Rozeboom,CAR,LB,898,0.1108786610878661,0.0666666666666666
130,Foye Oluokun,JAX,LB,761,0.1078431372549019,0.0708215297450425
131,Divine Deablo,ATL,LB,642,0.1058823529411764,0.1092715231788079
132,Anfernee Jennings,NE,LB,794,0.0966057441253263,0.0705596107055961
133,Jahlani Tavai,NE,LB,872,0.0956937799043062,0.0748898678414096
134,Devin Lloyd,JAX,LB,819,0.0953488372093023,0.0771208226221079
135,Daniel Ekuale,PIT,DL,685,0.0906344410876132,0.0790960451977401
136,A'Shawn Robinson,CAR,DL,721,0.0828220858895705,0.0481012658227848
137,Davon Godchaux,NO,DL,655,0.0671641791044776,0.0620155038759689
