player_id,snaps,avg_epa,pressure_allowed,OL_Value_EPA,player_name,position,team
00-0035237,1175,0.07824594,0.11148936170212766,0.07824594,Jawaan Taylor,OL,KC
00-0035238,641,0.065531485,0.1294851794071763,0.065531485,Cody Ford,OL,CIN
00-0035258,1013,0.062864795,0.05133267522211254,0.062864795,Hjalte Froholdt,OL,ARI
00-0035266,639,-0.07204157,0.11267605633802817,-0.07204157,Mike Jordan,OL,TB
00-0035526,1015,0.07599983,0.07192118226600985,0.07599983,Elgton Jenkins,OL,GB
00-0035588,1100,-0.009885572,0.10181818181818182,-0.009885572,Garrett Bradbury,OL,NE
00-0035630,1031,0.040935572,0.08535402521823472,0.040935572,Chris Lindstrom,OL,ATL
00-0035668,1104,0.20862901,0.059782608695652176,0.20862901,David Edwards,OL,BUF
00-0035679,1089,0.2116799,0.05876951331496786,0.2116799,Connor McGovern,OL,BUF
00-0035688,781,0.01514611,0.11907810499359796,0.01514611,Trey Pipkins,OL,LAC
00-0035702,563,-0.02158424,0.11900532859680284,-0.02158424,Dalton Risner,OL,CIN
00-0036036,1093,-0.10442234,0.07959743824336687,-0.10442234,Terence Steele,OL,DAL
00-0036132,1116,0.13283777,0.0528673835125448,0.13283777,Ben Bredeson,OL,TB
00-0036171,1075,-0.03667071,0.07441860465116279,-0.03667071,Aaron Brewer,OL,MIA
00-0036198,954,-0.09037214,0.11215932914046121,-0.09037214,Mike Onwenu,OL,NE
00-0036246,793,-0.11977696,0.12610340479192939,-0.11977696,Jon Runyan,OL,NYG
00-0036248,516,-0.11393748,0.08139534883720931,-0.11393748,Austin Jackson,OL,MIA
00-0036256,999,0.08178705,0.07607607607607608,0.08178705,Colton McKivitz,OL,SF
00-0036284,1093,0.11044392,0.0686184812442818,0.11044392,Mekhi Becton,OL,LAC
00-0036325,921,-0.07943908,0.09229098805646037,-0.07943908,Robert Hunt,OL,CAR
00-0036327,872,0.0052931015,0.06880733944954129,0.0052931015,Ezra Cleveland,OL,JAX
00-0036339,1080,0.006440211,0.09444444444444444,0.006440211,Kevin Dotson,OL,LA
00-0036347,1100,-0.009885572,0.10181818181818182,-0.009885572,Blake Brandel,OL,MIN
00-0036369,970,-0.029057447,0.09381443298969072,-0.029057447,John Simpson,OL,NYJ
00-0036376,1104,0.12430238,0.06340579710144928,0.12430238,Tyler Biadasz,OL,WAS
00-0036391,467,-0.1892943,0.10706638115631692,-0.1892943,Lloyd Cushenberry III,OL,TEN
00-0036406,1011,0.13247102,0.05539070227497527,0.13247102,Tristan Wirfs,OL,TB
00-0036408,765,-0.0045868587,0.06928104575163399,-0.0045868587,Cesar Ruiz,OL,NO
00-0036417,899,-0.052969735,0.09121245828698554,-0.052969735,Damien Lewis,OL,CAR
00-0036551,729,0.05209944,0.07956104252400549,0.05209944,Aaron Banks,OL,GB
00-0036596,1017,-0.032835674,0.0727630285152409,-0.032835674,Robert Jones,OL,DAL
00-0036603,954,0.018224664,0.0859538784067086,0.018224664,Alaric Jackson,OL,LA
00-0036604,544,-0.1685506,0.11213235294117647,-0.1685506,Jordan Meredith,OL,LV
00-0036618,1185,0.1383317,0.07088607594936709,0.1383317,Sam Cosmi,OL,WAS
00-0036619,848,-0.14213035,0.11202830188679246,-0.14213035,Dillon Radunz,OL,NO
00-0036622,1003,0.08187914,0.07278165503489531,0.08187914,Josh Myers,OL,NYJ
00-0036623,1196,0.078002,0.11120401337792642,0.078002,Creed Humphrey,OL,KC
00-0036660,1196,0.078002,0.11120401337792642,0.078002,Trey Smith,OL,KC
00-0036833,535,0.049127765,0.10841121495327102,0.049127765,Ryan Neuzil,OL,ATL
00-0036869,1067,-0.036389295,0.10402999062792877,-0.036389295,Dan Moore Jr.,OL,TEN
00-0036880,1162,0.16420175,0.08175559380378658,0.16420175,Penei Sewell,OL,DET
00-0036953,694,-0.12808704,0.09798270893371758,-0.12808704,Teven Jenkins,OL,CLE
00-0036957,526,0.014832236,0.060836501901140684,0.014832236,Drew Dalman,OL,CHI
00-0036975,492,-0.0474433,0.06300813008130081,-0.0474433,Walker Little,OL,JAX
00-0036976,1058,0.2081584,0.057655954631379965,0.2081584,Spencer Brown,OL,BUF
00-0036979,870,-0.019194826,0.09195402298850575,-0.019194826,Alijah Vera-Tucker,OL,NYJ
00-0037001,1067,0.012490744,0.059044048734770385,0.012490744,Quinn Meinerz,OL,DEN
00-0037002,1165,0.13157229,0.06866952789699571,0.13157229,Landon Dickerson,OL,PHI
00-0037009,894,0.018101253,0.10961968680089486,0.018101253,Rashawn Slater,OL,LAC
00-0037010,981,-0.02639923,0.06931702344546381,-0.02639923,Liam Eichenberg,OL,MIA
00-0037076,971,0.049234964,0.07723995880535531,0.049234964,Sean Rhyan,OL,GB
00-0037081,673,-0.033949763,0.08915304606240713,-0.033949763,Braxton Jones,OL,CHI
00-0037196,1074,0.06703228,0.07262569832402235,0.06703228,Rasheed Walker,OL,GB
00-0037229,867,-0.06054848,0.08881199538638986,-0.06054848,Ikem Ekwonu,OL,CAR
00-0037241,1021,-0.0572729,0.0832517140058766,-0.0572729,Trevor Penning,OL,LAC
00-0037243,984,-0.09552809,0.08333333333333333,-0.09552809,Tyler Smith,OL,DAL
00-0037255,825,-0.13644803,0.09333333333333334,-0.13644803,Dylan Parham,OL,LV
00-0037278,818,0.019778142,0.05867970660146699,0.019778142,Luke Wattenberg,OL,DEN
00-0037287,750,-0.037736863,0.096,-0.037736863,Vederian Lowe,OL,NE
00-0037297,472,0.050280817,0.1059322033898305,0.050280817,Cade Mays,OL,CAR
00-0037336,483,-0.0801502,0.053830227743271224,-0.0801502,Brock Hoffman,OL,DAL
00-0037413,623,-0.020123968,0.08507223113964688,-0.020123968,Ben Brown,OL,NE
00-0037612,424,-0.15302664,0.12735849056603774,-0.15302664,Evan Neal,OL,NYG
00-0037613,548,-0.057149366,0.10948905109489052,-0.057149366,Kenyon Green,OL,BAL
00-0037754,582,-0.16178797,0.11512027491408934,-0.16178797,Nicholas Petit-Frere,OL,TEN
00-0037757,821,-0.040083718,0.0682095006090134,-0.040083718,Bernhard Raimann,OL,IND
00-0037817,1069,0.07113546,0.07296538821328344,0.07113546,Zach Tom,OL,GB
00-0037818,1030,0.026668383,0.10970873786407767,0.026668383,Zion Johnson,OL,LAC
00-0037821,1014,-0.031322032,0.11143984220907298,-0.031322032,Charles Cross,OL,SEA
00-0037825,1153,0.22364597,0.053772766695576756,0.22364597,Tyler Linderbaum,OL,BAL
00-0037835,902,0.1669489,0.04656319290465632,0.1669489,Luke Goedeke,OL,TB
00-0038095,929,0.09111313,0.10656620021528525,0.09111313,Cordell Volson,OL,CIN
00-0038112,1210,0.12943554,0.06859504132231405,0.12943554,Cam Jurgens,OL,PHI
00-0038118,1164,0.22194165,0.05412371134020619,0.22194165,Daniel Faalele,OL,BAL
00-0038131,537,0.0023795152,0.08379888268156424,0.0023795152,Ed Ingram,OL,HOU
00-0038540,815,0.058895852,0.05030674846625767,0.058895852,Paris Johnson Jr.,OL,ARI
00-0038548,1132,0.20663162,0.05830388692579505,0.20663162,O'Cyrus Torrence,OL,BUF
00-0038593,411,-0.0021296765,0.10218978102189781,-0.0021296765,Olu Oluwatimi,OL,SEA
00-0038615,654,-0.06641127,0.10856269113149847,-0.06641127,Jarrett Patterson,OL,HOU
00-0038792,806,-0.056982215,0.10173697270471464,-0.056982215,Demontrey Jacobs,OL,ARI
00-0038932,950,-0.061847743,0.09263157894736843,-0.061847743,Darnell Wright,OL,CHI
00-0038934,904,-0.0056989514,0.06084070796460177,-0.0056989514,Anton Harrison,OL,JAX
00-0038936,889,-0.028786158,0.09673790776152981,-0.028786158,Juice Scruggs,OL,HOU
00-0038981,679,0.076216094,0.10603829160530191,0.076216094,Wanya Morris,OL,KC
