game_id,TEN_OL,TEN_DL,ARI_OL,ARI_DL,LV_OL,LV_DL,BAL_OL,BAL_DL,CHI_OL,CHI_DL,LA_OL,LA_DL,CLE_OL,CLE_DL,KC_OL,KC_DL,TB_OL,TB_DL,DAL_OL,DAL_DL,NYG_OL,NYG_DL,DEN_OL,DEN_DL,NO_OL,NO_DL,GB_OL,GB_DL,HOU_OL,HOU_DL,JAX_OL,JAX_DL,LAC_OL,LAC_DL,WAS_OL,WAS_DL,NE_OL,NE_DL,MIA_OL,MIA_DL,MIN_OL,MIN_DL,CIN_OL,CIN_DL,NYJ_OL,NYJ_DL,CAR_OL,CAR_DL,ATL_OL,ATL_DL,PHI_OL,PHI_DL,BUF_OL,BUF_DL,PIT_OL,PIT_DL,IND_OL,IND_DL,SEA_OL,SEA_DL,DET_OL,DET_DL,SF_OL,SF_DL
2021_02_MIN_ARI,,,0.272130031,0.4546271588931732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14966616700000002,0.4201607728117351,,,,,,,,,,,,,,,,,,,,,,
2021_02_NE_NYJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.341401599,0.5015886204489491,,,,,,,0.275080643,0.4947466636079606,,,,,,,,,,,,,,,,,,
2021_02_NO_CAR,,,,,,,,,,,,,,,,,,,,,,,,,0.164352668,0.4588017773986132,,,,,,,,,,,,,,,,,,,,,0.10974106,0.4743800073657888,,,,,,,,,,,,,,,,
2021_02_NYG_WAS,,,,,,,,,,,,,,,,,,,,,0.047275223,0.4492102489768833,,,,,,,,,,,,,0.11606120890000002,0.4754432532920675,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_02_SF_PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5499840899999999,0.441673399422278,,,,,,,,,,,0.594572231,0.4536380165134597
2021_02_TEN_SEA,0.54407863,0.4497422140525707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35014122299999995,0.4686380425880097,,,,
2021_03_ARI_JAX,,,0.24984258699999998,0.4546271588931732,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0260220533,0.4316954248984279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_03_ATL_NYG,,,,,,,,,,,,,,,,,,,,,0.047275223,0.4492102489768833,,,,,,,,,,,,,,,,,,,,,,,,,,,0.082042056,0.4253979569859977,,,,,,,,,,,,,,
2021_03_BAL_DET,,,,,,,0.609891084,0.4581442846755243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5487074340000001,0.4354232516023765,,
2021_03_CAR_HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.4105917719533128,,,,,,,,,,,,,,,,,0.10974106,0.4430299760157574,,,,,,,,,,,,,,,,
2021_03_CHI_CLE,,,,,,,,,0.051452757999999994,0.45537082633099873,,,0.14314728599999998,0.46449273896331517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_03_CIN_PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46667329900000004,0.4324283164184562,,,,,,,,,,,0.327662175,0.41714574321008235,,,,,,,,
2021_03_GB_SF,,,,,,,,,,,,,,,,,,,,,,,,,,,0.444950109,0.46220575840188743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.594572231,0.46227983659141647
2021_03_IND_TEN,0.54407863,0.4566600514301782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32136863600000004,0.45715739867744765,,,,,,
2021_03_LAC_KC,,,,,,,,,,,,,,,0.89813784,0.4373188402695332,,,,,,,,,,,,,,,,,0.706727264,0.3978675264898576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
